landmark_id,landmark_name,answer
112557,Tinh Xa Trung Tam,"Detail: A modern Buddhist retreat featuring an octagonal central hall and a clean, minimalist design with yellow and white color schemes. The architecture focuses on open spaces and symmetry for meditation purposes. | Answer: Tinh Xa Trung Tam"
113331,Phu My Bridge,"Detail: A modern cable-stayed bridge featuring tall H-shaped concrete pylons and a fan-like arrangement of stay cables. It spans the river with a sleek, aerodynamic deck designed for heavy urban traffic. | Answer: Phu My Bridge"
115883,Phat Diem Church,"Detail: A unique stone cathedral that blends European Gothic elements with traditional Vietnamese temple roofs and wooden pillars. The structure is built entirely of stone and ironwood, featuring a massive bell tower at the entrance. | Answer: Phat Diem Church"
116334,"Thien Hau Temple, Ho Chi Minh City","Detail: A Chinese-style temple famous for its intricate porcelain dioramas on the roof and large hanging incense coils. The interior features red wooden pillars and gold-trimmed altars dedicated to the goddess of the sea. | Answer: Thien Hau Temple, Ho Chi Minh City"
117500,Chùa Đại Giác,Detail: A serene Buddhist temple with a classic tiered roof design and a large statue of the Buddha in the main courtyard. The architecture is highlighted by wooden beams and decorative ceramic tiles along the roof ridges. | Answer: Chùa Đại Giác
117745,Miếu Nhị Phủ,"Detail: A traditional Fujian-style temple with a distinctive ""swallowtail"" curved roof and colorful ceramic ornamentation. The facade is adorned with stone carvings and red wooden doors typical of Chinese community halls. | Answer: Miếu Nhị Phủ"
118748,Cu Chi Tunnel,Detail: An underground network of narrow passages and hidden trapdoors camouflaged with forest leaves and dirt. The site includes reconstructed thatched-roof huts and bunkers used for military strategic planning. | Answer: Cu Chi Tunnel
119206,Thánh thất Đa Phước,Detail: A vibrant Caodai temple characterized by its twin square towers and colorful facade with a prominent Divine Eye symbol. The architecture is a unique eclectic mix of Asian and Western religious styles. | Answer: Thánh thất Đa Phước
119243,Bạch Dinh,"Detail: A white-walled French colonial villa situated on a hill with a view of the sea, featuring large louvered windows. The architecture includes classical European columns and a red-tiled roof surrounded by frangipani trees. | Answer: Bạch Dinh"
120976,Kim Liên Pagoda,"Detail: Known for its elegant wooden structure and three parallel halls with low, curved roofs. The temple is surrounded by white walls and brick pathways, reflecting the peaceful style of old Hanoi architecture. | Answer: Kim Liên Pagoda"
121100,Son Doong Cave,"Detail: A massive natural limestone cave featuring giant stalactites, stalagmites, and an internal jungle formed under collapsed sections. Its unique ""architecture"" is sculpted by nature with enormous chambers and underground rivers. | Answer: Son Doong Cave"
121481,One Pillar Pagoda,"Detail: This miniature wooden shrine is built on a single stone pillar in the center of a lotus pond. Its design mimics a lotus flower rising from the water, topped with a traditional curved roof. | Answer: One Pillar Pagoda"
121533,Keangnam Hanoi Landmark Tower,Detail: A contemporary glass-clad skyscraper complex consisting of two residential towers and one tall office building. Its sleek modern facade dominates the skyline with a distinctive tiered glass top. | Answer: Keangnam Hanoi Landmark Tower
121721,Thien Duong Cave,Detail: A stunning limestone cavern filled with spectacular white crystalline stalactites and pillars. The site features wooden walkways that navigate through vast chambers illuminated by colorful artificial lighting. | Answer: Thien Duong Cave
122786,Regina Pacis Cathedral (Long Xuyen),"Detail: A modern Catholic church featuring a tall, pointed bell tower and a spacious, high-ceilinged nave. The facade is designed with geometric concrete patterns and large stained-glass windows. | Answer: Regina Pacis Cathedral (Long Xuyen)"
124454,Hanoi Botanical Garden,Detail: A lush green urban park featuring colonial-era landscape design with winding paths and old-growth trees. It includes small French-style brick structures and greenhouses set around a central lake. | Answer: Hanoi Botanical Garden
125300,Chùa Cầu,"Detail: A historic wooden bridge featuring a small pagoda on one side, blending Japanese and Vietnamese architectural styles. The bridge is covered with a tiled roof and supported by stone pillars over a narrow canal. | Answer: Chùa Cầu"
128015,Cam Ranh Bay,Detail: A vast natural deep-water bay surrounded by mountainous peninsulas and sandy beaches. The area features military naval infrastructure and modern resort architecture integrated into the coastal landscape. | Answer: Cam Ranh Bay
128228,Thac Ba Lake,"Detail: One of Vietnam's largest artificial lakes, dotted with over a thousand limestone islands covered in greenery. The surrounding architecture includes hydroelectric dams and stilt houses of local ethnic minorities. | Answer: Thac Ba Lake"
128310,Chi Lang Stadium,Detail: A large concrete sports arena with a multi-tiered seating bowl and high-intensity floodlights. The exterior is characterized by functionalist concrete walls and large entry gates for crowds. | Answer: Chi Lang Stadium
128374,Vung Tau lighthouse,"Detail: A classic white cylindrical tower built with sturdy stone walls, located on top of a mountain peak. The structure features a circular gallery and a large lantern room that overlooks the sea. | Answer: Vung Tau lighthouse"
129798,Vietnamese Women's Museum,"Detail: A modern multi-story building featuring a clean facade with large glass windows and an open central atrium. The interior design is contemporary, focused on flexible exhibition spaces and multimedia displays. | Answer: Vietnamese Women's Museum"
130230,Museum of Cham Sculpture,Detail: A low-rise terracotta-colored building designed with French colonial and Cham architectural influences. The halls feature high ceilings and large windows to provide natural light for the ancient sandstone statues. | Answer: Museum of Cham Sculpture
131182,National Library of Vietnam,"Detail: A grand French colonial building with a yellow facade, symmetrical wings, and classical columns. The architecture includes high ceilings and large wooden bookshelves housed in spacious, quiet reading halls. | Answer: National Library of Vietnam"
133325,Bai Chay Bridge,Detail: A major cable-stayed bridge with a single plane of cables and thin concrete pylons. Its modern design features a sweeping curve that connects the two halves of a coastal city. | Answer: Bai Chay Bridge
133572,Đền Mẫu Âu Cơ,"Detail: A traditional temple dedicated to a legendary figure, featuring carved wooden pillars and red-tiled roofs. The architecture is characterized by its tranquil courtyard and dragon decorations on the roof ridges. | Answer: Đền Mẫu Âu Cơ"
133933,Lotte Center Hanoi,"Detail: A 65-story skyscraper with a unique facade inspired by the traditional Vietnamese ""Ao Dai"" dress. The building is clad in glass and features a high-altitude observation deck with glass floors. | Answer: Lotte Center Hanoi"
134053,Kim Bồng Village,"Detail: An ancient riverside village known for its traditional wooden houses and carpentry workshops. The architecture features dark wood frames, tiled roofs, and intricate carvings on doors and furniture. | Answer: Kim Bồng Village"
134422,Trấn Quốc Pagoda,"Detail: A tall red stupa with multiple levels, each housing a white Buddha statue, located on a lakeside island. The complex includes several smaller shrines and ancient stone steles under shady Bodhi trees. | Answer: Trấn Quốc Pagoda"
134878,Turtle Tower,"Detail: A small stone structure with three levels of arched windows, situated on a small green island in a lake. Its weathered walls and classic Vietnamese architecture make it a historic landmark. | Answer: Turtle Tower"
135320,"Quan Am Pagoda, Ho Chi Minh City","Detail: A colorful Buddhist temple with elaborate ceramic friezes and dragon sculptures on its tiered roofs. The courtyard is filled with incense and decorated with hanging lanterns and red wooden panels. | Answer: Quan Am Pagoda, Ho Chi Minh City"
136317,Bình An Cemetery,"Detail: A vast memorial ground featuring neat rows of stone graves and central monuments. The architecture is somber and orderly, with paved pathways and green landscaping. | Answer: Bình An Cemetery"
136610,The Rockpile,"Detail: A prominent limestone hill with steep jagged cliffs that served as a strategic military outpost. Its natural ""architecture"" consists of barren rock faces and sparse vegetation overlooking the valley. | Answer: The Rockpile"
137130,Linh Phuoc Pagoda,"Detail: A vibrant temple complex famous for its ""mosaic"" architecture made from millions of pieces of broken glass and ceramic. The site features a 49-meter long dragon sculpture and a towering seven-story bell tower. | Answer: Linh Phuoc Pagoda"
137138,Xuan Huong Lake,"Detail: A crescent-shaped man-made lake in a mountain city, surrounded by pine trees and French colonial-style villas. The shoreline features flower gardens and modern bridges designed for pedestrians. | Answer: Xuan Huong Lake"
139377,Deutsches Haus Ho Chi Minh Stadt,"Detail: A high-tech glass skyscraper featuring a double-skin facade for energy efficiency and sustainability. The architecture is sleek and minimalist, reflecting modern German engineering and corporate style. | Answer: Deutsches Haus Ho Chi Minh Stadt"
14034,"Presidential Palace, Hanoi","Detail: A majestic mustard-yellow French colonial building featuring grand arched windows and classical balustrades. It is surrounded by lush gardens, orchards, and a quiet pond, reflecting European neoclassical style. | Answer: Presidential Palace, Hanoi"
140932,Vietnam Museum of Ethnology,"Detail: A large complex featuring a modern main building and an outdoor area with full-scale traditional ethnic stilt houses. The architecture showcases diverse building techniques using wood, bamboo, and thatch. | Answer: Vietnam Museum of Ethnology"
14098,My Son,Detail: An ancient complex of red brick Hindu sanctuary towers featuring intricate bas-reliefs of deities and floral patterns. The architecture demonstrates the sophisticated brick-stacking technology of the Champa civilization. | Answer: My Son
141206,"Truc Lam Zen Monastery, Da Lat","Detail: A hillside temple complex with golden-tiled roofs and expansive flower gardens overlooking a lake. The architecture is simple and elegant, focusing on harmony with the surrounding pine forest. | Answer: Truc Lam Zen Monastery, Da Lat"
141856,My Dinh National Stadium,Detail: A large-scale sports arena featuring a distinctive white saddle-shaped roof made of arched steel frames. The exterior is defined by grand concrete ramps and massive light towers rising above the seating bowl. | Answer: My Dinh National Stadium
142465,People's Committee Building of Ho Chi Minh City,"Detail: A stunning example of French colonial architecture with a cream and yellow facade, ornate moldings, and a central clock tower. The building features grand arched windows and symmetrical wings overlooking a formal garden. | Answer: People's Committee Building of Ho Chi Minh City"
144275,Da Lat Flower Park,"Detail: A vast garden entrance marked by a giant archway made of colorful floral displays and steel structures. The site includes patterned flower beds, wind-mills, and decorative statues set against a backdrop of hilly terrain. | Answer: Da Lat Flower Park"
145173,Thần-quang Pagoda (Trực-ninh),"Detail: A traditional northern Vietnamese temple featuring low, sweeping tiled roofs with curved ""dragon"" corners and weathered wooden beams. The complex is centered around a brick courtyard and ancient bell towers. | Answer: Thần-quang Pagoda (Trực-ninh)"
145844,Flag Tower of Hanoi,Detail: A historic brick structure consisting of three tiered pyramid-shaped bases topped by an octagonal tower with arched windows. A large national flag flies from a steel pole atop this military heritage landmark. | Answer: Flag Tower of Hanoi
148756,Suoi Tien Amusement Park,"Detail: An eccentric theme park featuring massive colorful sculptures of mythical creatures, dragons, and Buddhist deities. The architecture is characterized by oversized face-shaped buildings and vibrant cultural motifs. | Answer: Suoi Tien Amusement Park"
149285,Vietnam Military History Museum,"Detail: A complex featuring a modern exhibition building and an outdoor yard filled with historical aircraft, tanks, and artillery. The site is anchored by an ancient brick flag tower and large open-air display spaces. | Answer: Vietnam Military History Museum"
149368,Thap Poshaknu cham towers,Detail: A cluster of ancient red-brick towers featuring tiered roofs and intricate carvings of deities on the exterior walls. These structures sit on a grassy hilltop and showcase the distinct masonry techniques of the Cham people. | Answer: Thap Poshaknu cham towers
149535,InterContinental hotels,Detail: A luxury high-rise building with a sleek glass-and-steel facade and modern geometric balconies. The architecture often incorporates grand lobbies with high ceilings and sophisticated contemporary design elements. | Answer: InterContinental hotels
149877,Son La Dam,"Detail: A massive concrete gravity dam spanning a deep river valley, characterized by a series of high spillway gates and a vast powerhouse. The surrounding landscape features steep mountains and a large upstream reservoir. | Answer: Son La Dam"
151011,Quán Thánh Temple,Detail: A classic Taoist temple featuring a heavy wooden gate and a large courtyard leading to a sanctuary with red pillars. It is famous for its giant bronze statue and elaborate roof carvings of mythical animals. | Answer: Quán Thánh Temple
151058,Dragon Wharf,Detail: A French colonial-style building with a symmetrical red-tiled roof featuring two dragon statues on the ridge. The yellow-walled structure overlooks the river and serves as a historic gateway with arched entryways. | Answer: Dragon Wharf
152377,Long Bien Bridge,"Detail: A historic cantilever bridge with a weathered steel truss structure and a central railway track flanked by narrow roadways. Its iconic zigzagging steel spans stretch across the river, showing signs of historic resilience. | Answer: Long Bien Bridge"
152437,Kính Thiên Palace,Detail: The site is marked by a majestic stone staircase featuring four massive dragon carvings from the 15th century. It represents the foundation of an ancient royal palace with large stone steps leading to an elevated platform. | Answer: Kính Thiên Palace
152501,Cốc Lếu Bridge,"Detail: A modern concrete bridge spanning a wide river, connecting two urban areas with its sleek white railings and arched supports. The bridge features high lighting poles and broad lanes designed for heavy border traffic. | Answer: Cốc Lếu Bridge"
153668,Saigon Notre-Dame Basilica,Detail: A grand neo-Romanesque cathedral built with imported red bricks and featuring two iconic tall square towers. The facade is adorned with stained-glass windows and a white statue of the Virgin Mary in the front plaza. | Answer: Saigon Notre-Dame Basilica
154569,Jade Emperor Pagoda,Detail: A colorful Taoist temple with a pinkish facade and tiered roofs decorated with elaborate ceramic figurines of dragons and deities. The interior is filled with dark wooden carvings and pools of turtles. | Answer: Jade Emperor Pagoda
155319,Ben Thanh Market,Detail: A landmark commercial building featuring a prominent central clock tower and a large yellow-tiled roof. The four main gates are adorned with reliefs and lead into a vast indoor market space with high ceilings. | Answer: Ben Thanh Market
156825,Hang Pagoda (Tra Vinh Province),"Detail: A Khmer-style Buddhist temple set in a forest, featuring a magnificent entrance through a natural cave-like opening. The main hall is decorated with golden spires and colorful murals depicting the life of Buddha. | Answer: Hang Pagoda (Tra Vinh Province)"
157989,U Minh Thuong,Detail: A vast national park landscape dominated by dense peat swamp forests and narrow water canals for boat navigation. The architecture in the area consists of rustic wooden lookout towers and floating ranger stations. | Answer: U Minh Thuong
158425,Long Tan Cross,"Detail: A simple white concrete cross standing in the middle of a rubber plantation as a memorial. The site is characterized by a circular stone base and a quiet, somber environment surrounded by neat rows of trees. | Answer: Long Tan Cross"
159148,Vietnam National Museum of Fine Arts,"Detail: A beautiful three-story French colonial building with yellow walls, white columns, and high-arched windows. The architecture includes spacious galleries with wooden floors designed to showcase traditional and modern art. | Answer: Vietnam National Museum of Fine Arts"
159672,An Dinh Residence,"Detail: A lavish mansion blending European neoclassical style with traditional Vietnamese decorative motifs. The facade is heavily ornamented with plaster carvings, gold-painted details, and sits beside a tranquil river. | Answer: An Dinh Residence"
162524,Cathedral of Da Lat,Detail: A French-style Catholic church with a light pink exterior and a tall bell tower topped with a bronze weathercock. The architecture features stained-glass windows and a high-vaulted interior typical of Gothic revival. | Answer: Cathedral of Da Lat
162703,Tân Định Church,"Detail: An eye-catching Romanesque church painted in a bright vibrant pink color with multiple spires and white trim. The architecture is highly detailed with arched windows, decorative balustrades, and a grand clock tower. | Answer: Tân Định Church"
16314,Opera House of Ho Chi Minh City,"Detail: A grand French colonial theater featuring a white facade with arched entrances and elaborate sculptures of angels. The architecture is characterized by its high ceilings, velvet-covered seating, and ornate crystal chandeliers. | Answer: Opera House of Ho Chi Minh City"
163230,Bà Lụa Islands,Detail: A scenic archipelago featuring small rocky islands covered in lush vegetation and surrounded by turquoise waters. The area includes simple wooden fishing huts and small stilt houses along the sandy shorelines. | Answer: Bà Lụa Islands
164543,Đồng Xuân Market,Detail: A large multi-story market building with a distinctive facade consisting of five arched entrances. The structure features a functionalist design with high ventilation windows and a massive indoor space for stalls. | Answer: Đồng Xuân Market
165388,Hang Cop Waterfall,Detail: A majestic natural waterfall cascading over jagged limestone tiers into a large forest pool. The site includes rugged stone pathways and a giant statue of a tiger near the entrance. | Answer: Hang Cop Waterfall
165669,Ba Vi National Park,Detail: A mountainous landscape featuring mist-covered peaks and the ruins of French colonial villas built from dark stone. The park architecture includes modern forest resorts and ancient temples located on high summits. | Answer: Ba Vi National Park
168064,Xa Loi Pagoda,"Detail: A modern multi-story pagoda featuring a tall seven-tiered tower and a grand main hall with large Buddha statues. The architecture is defined by its concrete structure, white walls, and peaceful garden courtyards. | Answer: Xa Loi Pagoda"
173200,Hang Nga guesthouse,"Detail: A surreal ""Crazy House"" featuring organic architecture with twisted, cave-like structures and spiderweb-shaped windows. The design mimics natural elements like tree trunks and vines, creating a maze of whimsical stairways. | Answer: Hang Nga guesthouse"
174562,Can Tho Bridge,Detail: A massive cable-stayed bridge featuring two giant A-shaped concrete pylons and a fan of stay cables against the sky. Its modern deck spans the wide Hau River with long approach ramps and colorful night lighting. | Answer: Can Tho Bridge
177220,Cat Tien National Park,Detail: A vast rainforest conservation area featuring rustic wooden lodges and stone research centers integrated into the woods. The architecture focuses on eco-friendly materials like bamboo and thatched roofs to match the nature. | Answer: Cat Tien National Park
178816,Phu Quoc,Detail: A tropical island landscape characterized by white sandy beaches and modern high-end resort architecture. Iconic features include the red-and-white Dinh Cau lighthouse and large glass-walled hotel complexes. | Answer: Phu Quoc
179766,Cù Hill,Detail: A rolling green landscape featuring a pristine golf course with winding pathways and pine trees. The area is characterized by open fairways and colonial-style clubhouses overlooking a central lake. | Answer: Cù Hill
180385,Tay An Pagoda,Detail: A colorful temple featuring a unique blend of Hindu and Islamic architectural influences with onion-shaped domes and bright paint. The facade is decorated with statues of elephants and intricate traditional Vietnamese motifs. | Answer: Tay An Pagoda
182673,Tomb of Emperor Gia Long,"Detail: A serene royal burial site featuring stone steles and symmetrical courtyards surrounded by pine forests. The architecture is simple but grand, with weathered stone steps leading to a tranquil lake. | Answer: Tomb of Emperor Gia Long"
183876,Con Dao Islands,Detail: A coastal landscape featuring rugged cliffs and historic stone prison complexes with narrow cells and high walls. Modern resort architecture with wooden villas and infinity pools is also a key feature of the island. | Answer: Con Dao Islands
184326,Ban Gioc Waterfalls,"Detail: A spectacular multi-tiered waterfall spanning the border, featuring wide cascades of water over green limestone ledges. The site is surrounded by karst mountains and features simple bamboo rafts on the river. | Answer: Ban Gioc Waterfalls"
184716,Ly Bat De Shrine,"Detail: A traditional temple complex dedicated to the Ly kings, featuring red-tiled roofs and intricately carved wooden interiors. The architecture is centered around a grand ceremonial hall and a peaceful lotus pond. | Answer: Ly Bat De Shrine"
184903,Cổ Loa Citadel,Detail: An ancient fortress site characterized by spiral-shaped earthen ramparts and a series of traditional brick temples. The architecture includes stone statues of mythical animals and old banyan trees shading the entrances. | Answer: Cổ Loa Citadel
185687,Saigon Times Square,"Detail: A ultra-modern skyscraper with a shimmering glass facade and a massive LED screen wrapping around its exterior. The architecture is defined by high-end luxury design, marble-clad interiors, and a sleek vertical silhouette. | Answer: Saigon Times Square"
185771,Hanoi Ceramic Mosaic Mural,"Detail: A massive long wall covered in vibrant ceramic mosaics depicting Vietnamese history and cultural life. The structure is built from brick and concrete along a major dike road, creating a colorful urban landmark. | Answer: Hanoi Ceramic Mosaic Mural"
185834,Po Nagar,"Detail: A complex of ancient red-brick Cham towers standing on a hill, featuring tiered pyramidal roofs and stone carvings. The towers have dark, narrow interiors with altars dedicated to the goddess Yan Po Nagar. | Answer: Po Nagar"
186946,Hanoi Hilton,"Detail: A grim historic prison site featuring thick yellow stone walls and iron-barred windows. The architecture includes narrow dark corridors, dungeon cells, and a central courtyard used for educational exhibitions. | Answer: Hanoi Hilton"
18959,Saint Joseph Church (Ho Chi Minh City),Detail: A Gothic-style Catholic church with a light-colored facade and a tall central bell tower topped with a spire. The architecture features pointed-arch windows and decorative stone carvings typical of European influence. | Answer: Saint Joseph Church (Ho Chi Minh City)
189744,West Lake (Hanoi),"Detail: A vast urban lake surrounded by a mix of traditional pagodas, modern luxury hotels, and high-rise apartment buildings. The shoreline features broad paved walkways, flower gardens, and numerous lakeside cafes. | Answer: West Lake (Hanoi)"
189897,Cao Dai Holy See,Detail: A strikingly colorful temple with twin square towers and an eclectic mix of Asian and Western religious architecture. The facade is decorated with the Divine Eye symbol and vibrant statues of mythical figures. | Answer: Cao Dai Holy See
19003,Bến Dược Memorial Temple,Detail: A grand traditional-style temple with multiple tiered red-tiled roofs and massive concrete pillars. The interior features long corridors with thousands of names engraved on stone plaques as a tribute. | Answer: Bến Dược Memorial Temple
190292,Zone 5 Military Museum,"Detail: An outdoor display area featuring massive military hardware such as fighter jets, tanks, and helicopters arranged on concrete pads. The site includes a modern memorial building with a symmetrical facade and traditional roof tiles. | Answer: Zone 5 Military Museum"
191801,Gò Đậu Stadium,Detail: A functional sports arena with a large oval-shaped concrete grandstand and high-intensity floodlight towers. The exterior features open gates and ticket booths typical of urban provincial stadiums. | Answer: Gò Đậu Stadium
194348,Tomb of Emperor Thiệu Trị,"Detail: A quiet royal burial site featuring a simple stone stele pavilion and a crescent-shaped lake. The architecture is characterized by weathered stone walls and a lack of enclosing walls, blending naturally with the surrounding orchards. | Answer: Tomb of Emperor Thiệu Trị"
194954,The Huc Bridge,"Detail: A bright red-painted wooden bridge with a curved design, featuring multiple pillars and traditional railings. It connects the shore to a small island temple, reflecting beautifully on the surface of the green lake water. | Answer: The Huc Bridge"
195083,Reunification Palace,Detail: A landmark of 1960s modernist architecture featuring a symmetrical white concrete facade with vertical sun-shading louvers. The building sits at the end of a grand tree-lined boulevard and features a large circular fountain in front. | Answer: Reunification Palace
19534,Dam Sen Cultural Park,"Detail: A vast recreation area featuring a large central lake with colorful swan-shaped pedal boats and a prominent Ferris wheel. The architecture includes various themed pavilions, Roman-style columns, and modern water park structures. | Answer: Dam Sen Cultural Park"
195579,Tà Cú,Detail: A mountain peak sanctuary famous for a massive 49-meter white reclining Buddha statue lying amidst a dense forest. The site features traditional pagoda architecture with tiered roofs and stone steps carved into the steep hillside. | Answer: Tà Cú
195954,Tomb of Emperor Tự Đức,"Detail: One of the most beautiful royal tombs, featuring a wooden pavilion built over a lotus-filled lake and numerous pine-shaded walkways. The architecture is romantic and poetic, with red-lacquered columns and intricately carved stone steles. | Answer: Tomb of Emperor Tự Đức"
19621,Hoa Phong Tower,"Detail: A solitary, ancient three-story brick tower that was once the gate of a larger temple. Its weathered red brickwork and arched openings stand as a historic relic on the edge of a busy urban lake. | Answer: Hoa Phong Tower"
198060,Saint Francis Xavier Church (Ho Chi Minh City),"Detail: A historic Catholic church with a light-colored facade and a prominent central bell tower topped with a cross. The architecture blends European Gothic elements with Chinese decorative motifs, located in a bustling market district. | Answer: Saint Francis Xavier Church (Ho Chi Minh City)"
199566,Thuan Phuoc Bridge,Detail: A modern suspension bridge with two tall concrete towers and a network of thick suspension cables supporting a steel deck. The bridge features sleek white railings and provides a grand gateway over the river mouth to the sea. | Answer: Thuan Phuoc Bridge
201016,Valley of Love,"Detail: A scenic hilly landscape featuring flower-shaped sculptures, heart-themed bridges, and a central lake surrounded by pine forests. The architecture includes small wooden cottages and numerous patterned garden pathways. | Answer: Valley of Love"
22656,Hòn Dáu,Detail: A forested island featuring a historic lighthouse built with thick grey stone walls and a circular lantern room. The area includes colonial-era stone villas and a modern resort complex integrated into the rocky coastline. | Answer: Hòn Dáu
2414,"St. Joseph's Cathedral, Hanoi","Detail: A neo-Gothic cathedral with two massive square towers and a dark, weathered stone facade. The architecture features a large stained-glass rose window and pointed-arch portals, resembling Notre Dame de Paris. | Answer: St. Joseph's Cathedral, Hanoi"
24264,Hall of Supreme Harmony (Citadel of Huế),"Detail: The most important palace in the citadel, featuring a double-layered roof with yellow tiles and red-lacquered wooden pillars. The interior is characterized by a gold-leafed throne and intricate dragon carvings on the ceiling. | Answer: Hall of Supreme Harmony (Citadel of Huế)"
25073,Anh Sao Bridge,"Detail: A modern pedestrian bridge with a curved, crescent-shaped design and a surface embedded with colorful LED lights. It features a unique waterfall system on the sides that glows brilliantly at night. | Answer: Anh Sao Bridge"
25569,Cathedral of Christ the King (Nha Trang),"Detail: A majestic stone church built on a hill, featuring a prominent bell tower and stained-glass windows depicting religious scenes. The exterior is made of grey concrete blocks designed to look like heavy stone masonry. | Answer: Cathedral of Christ the King (Nha Trang)"
25693,Hai Bà Trưng Temple,Detail: A traditional temple complex featuring low red-tiled roofs and heavy wooden gates guarded by stone elephant statues. The architecture is symmetrical and centered around a ceremonial courtyard with ancient banyan trees. | Answer: Hai Bà Trưng Temple
26359,War Remnants Museum,"Detail: A large modernist museum building with a simple grey concrete facade and functionalist design. The outdoor courtyard is filled with captured military tanks, planes, and artillery, surrounded by high walls and informative plaques. | Answer: War Remnants Museum"
26688,Gia Long Falls,"Detail: A powerful natural waterfall set against a dramatic backdrop of volcanic rock formations and dense jungle. The site features rugged stone cliffs and a wide river basin with clear, turquoise water. | Answer: Gia Long Falls"
26854,Huu Tiep Lake,Detail: A small urban pond known for the wreckage of a military aircraft protruding from its water. The surrounding area consists of narrow residential alleys and small brick houses typical of historic city quarters. | Answer: Huu Tiep Lake
27048,Museum of Vietnamese History,"Detail: An elegant building with a distinct Indochinese architectural style, featuring a central octagonal tower and yellow walls. The architecture incorporates traditional Vietnamese tiered roofs with French colonial design elements. | Answer: Museum of Vietnamese History"
27605,Datanla Waterfall,Detail: A scenic waterfall cascading over smooth rock ledges into a lush forest canyon. The site is developed with modern alpine coaster tracks and wooden walkways that navigate through the dense greenery. | Answer: Datanla Waterfall
2809,Xuan Thuy National Park,"Detail: A vast wetland landscape featuring mangrove forests, mudflats, and narrow water channels. The architecture in the park includes simple wooden bird-watching towers and stilt houses used by local fishermen. | Answer: Xuan Thuy National Park"
29884,Bobla Waterfall,"Detail: A majestic hidden waterfall falling from a high rock cliff into a deep green pool surrounded by ancient trees. The natural ""architecture"" of the site includes steep stone walls and misty forest trails. | Answer: Bobla Waterfall"
30807,Chuong Duong Bridge,"Detail: A major steel truss bridge with a functional design, featuring heavy grey steel spans and multiple lanes for motorbikes and cars. It is an iconic industrial landmark connecting two major urban districts. | Answer: Chuong Duong Bridge"
3113,Van Hanh Zen Monastery,"Detail: A serene hilltop monastery famous for its giant golden statue of Buddha holding a lotus flower. The architecture features clean, modern pagoda lines with white walls and expansive tiled courtyards overlooking the city. | Answer: Van Hanh Zen Monastery"
31603,Buôn Akõ Dhông,Detail: A traditional village featuring longhouses built of dark wood with steep thatched roofs and carved wooden stairs. The architecture reflects the unique cultural heritage of the Ede ethnic group in the highlands. | Answer: Buôn Akõ Dhông
31769,Fansipan,"Detail: The highest peak in the region, featuring a modern cable car station and a grand complex of spiritual structures with stone terraces. The architecture includes a massive bronze Buddha statue and traditional temples built on steep rocky cliffs. | Answer: Fansipan"
31889,Tomb of Emperor Khải Định,"Detail: A unique royal tomb blending French neoclassicism with traditional Vietnamese styles, featuring dark grey concrete walls and elaborate porcelain mosaics. The interior is famous for its intricate glass and ceramic inlay artwork. | Answer: Tomb of Emperor Khải Định"
