id,url,landmark_id,category,supercategory,hierarchical_label,natural_or_human_made,landmark_name
c9d7b2bf5cb5734b,https://upload.wikimedia.org/wikipedia/commons/4/48/Seilbahn_Fira_Santorin_01.jpg,154161,http://commons.wikimedia.org/wiki/Category:Santorini_Cable_Car,aerial tramway,rail transportation,human-made,Santorini Cable Car
c44450b085f35966,https://upload.wikimedia.org/wikipedia/commons/b/bb/Crkva_Sv_Andreja_Prvozvanog_na_kraljevskom_kompleksu%2C_Beograd.jpg,94059,http://commons.wikimedia.org/wiki/Category:Royal_Palace_(Belgrade),royal palace,palace,human-made,Royal Palace (Belgrade)
d6fcdc7de4c9ffec,http://upload.wikimedia.org/wikipedia/commons/d/dd/St_Aug_FL_Bridge_of_Lions_east_end04.jpg,202397,http://commons.wikimedia.org/wiki/Category:Bridge_of_Lions,bascule bridge,bridge,human-made,Bridge of Lions
f313e1686df6b2a7,https://upload.wikimedia.org/wikipedia/commons/4/49/Chandler-Arizona_Railway_Museum-Southern_Pacific_Horse_Car-1937.JPG,43857,http://commons.wikimedia.org/wiki/Category:Arizona_Railway_Museum,railway museum,museum,human-made,Arizona Railway Museum
c8c5f050be505030,https://upload.wikimedia.org/wikipedia/commons/0/08/Corpora%C3%A7%C3%A3o_Musical_Nossa_Senhora_Auxiliadora_na_Catedral_S%C3%A3o_Sebasti%C3%A3o%2C_Coronel_Fabriciano_MG.JPG,137587,http://commons.wikimedia.org/wiki/Category:Saint_Sebastian_Cathedral_(Coronel_Fabriciano),cathedral,church,human-made,Saint Sebastian Cathedral (Coronel Fabriciano)
269ffc7405250b79,https://upload.wikimedia.org/wikipedia/commons/7/73/Museum_TTC_northbound_platform.JPG,31011,http://commons.wikimedia.org/wiki/Category:Museum_(TTC),metro station,rail transportation,human-made,Museum (TTC)
e6a6f74ee5019ec4,https://upload.wikimedia.org/wikipedia/commons/9/94/Baden-Baden-Oberbeuern_vom_Panoramaweg-12-gje.jpg,148497,http://commons.wikimedia.org/wiki/Category:Panoramaweg_Baden-Baden,tourist circuit,,,Panoramaweg Baden-Baden
9743ef4fa6919a86,http://upload.wikimedia.org/wikipedia/commons/5/56/27_Oct_2007_Seattle_Demo_-_Backbone_03.jpg,17684,http://commons.wikimedia.org/wiki/Category:Langston_Hughes_Performing_Arts_Center,theatre,theatre,human-made,Langston Hughes Performing Arts Center
acfbf7589e93e0db,https://upload.wikimedia.org/wikipedia/commons/e/e4/Laura_Plantation-056.JPG,186547,http://commons.wikimedia.org/wiki/Category:Laura_Plantation,plantation,agricultural land,natural,Laura Plantation
bd8e34b6c7d264c5,https://upload.wikimedia.org/wikipedia/commons/f/fa/%E3%82%AA%E3%83%BC%E3%83%B3%E3%82%BA%E6%98%A5%E9%A6%99%E5%B1%B1%E3%82%86%E3%82%8A%E5%9C%92%EF%BC%88Onze_Harukayama_lily_garden%EF%BC%89_-_panoramio_%284%29.jpg,45009,http://commons.wikimedia.org/wiki/Category:Mount_Haruka_(Hokkaido),mountain,mountain,natural,Mount Haruka (Hokkaido)
5db0bd59a3a84914,https://upload.wikimedia.org/wikipedia/commons/c/ca/-_panoramio_%282236%29.jpg,104827,http://commons.wikimedia.org/wiki/Category:Georges_River_National_Park,national park of Australia,parks,natural,Georges River National Park
c1373240328dbb0c,https://upload.wikimedia.org/wikipedia/commons/c/ca/Seraincourt_%2895%29%2C_%C3%A9glise_Saint-Sulpice%2C_vue_depuis_le_sud_2.jpg,187455,http://commons.wikimedia.org/wiki/Category:%C3%89glise_Saint-Sulpice_de_Seraincourt,church building,church,human-made,Église Saint-Sulpice de Seraincourt
a2a7d4b44f78d6a3,https://upload.wikimedia.org/wikipedia/commons/4/43/Los_Caracoles1.JPG,32475,http://commons.wikimedia.org/wiki/Category:Parque_natural_de_Sierra_M%C3%A1gina,Site of Community Importance,,,Parque natural de Sierra Mágina
8723caca2a6f6e21,https://upload.wikimedia.org/wikipedia/commons/a/a3/%C3%89glise_Saint-L%C3%A9on_de_Westmount_%28orgue%29.jpg,18579,http://commons.wikimedia.org/wiki/Category:%C3%89glise_Saint-L%C3%A9on_de_Westmount,church building,church,human-made,Église Saint-Léon de Westmount
b1bfff4b841b84be,https://upload.wikimedia.org/wikipedia/commons/c/cb/Bryce_Canyon_point_%289%29.JPG,184814,http://commons.wikimedia.org/wiki/Category:Pink_Cliffs,cliff,cliff,natural,Pink Cliffs
5574e71e0486f520,https://upload.wikimedia.org/wikipedia/commons/6/60/Museum_of_Jewish_Heritage.jpg,62366,http://commons.wikimedia.org/wiki/Category:Museum_of_Jewish_Heritage,museum,museum,human-made,Museum of Jewish Heritage
33e3c9f6b307eae7,http://upload.wikimedia.org/wikipedia/commons/4/40/%C3%89glise_Saint-Jean-Baptiste_de_Campagne.JPG,92860,http://commons.wikimedia.org/wiki/Category:%C3%89glise_Saint-Jean-Baptiste_de_Campagne,church building,church,human-made,Église Saint-Jean-Baptiste de Campagne
7131511df52fed27,https://upload.wikimedia.org/wikipedia/commons/b/b0/K%C3%B6szeg_Herz-Jesu-Kirche_Front_1.JPG,168798,http://commons.wikimedia.org/wiki/Category:Sacred_Heart_Church_in_K%C5%91szeg,parish church,church,human-made,Sacred Heart Church in Kőszeg
9741f526bd1f309e,https://upload.wikimedia.org/wikipedia/commons/f/f4/Addo_Elephant_Park%2C_Eastern_Cape_%286253196474%29.jpg,191264,http://commons.wikimedia.org/wiki/Category:Addo_Elephant_National_Park,national park,parks,natural,Addo Elephant National Park
295c6541f893e8f6,https://upload.wikimedia.org/wikipedia/commons/d/d0/2014_Picunda%2C_Sob%C3%B3r_%C5%9Bw._Andrzeja_%28kamienne_mury%29_%2806%29.jpg,124841,http://commons.wikimedia.org/wiki/Category:Pitsunda_Cathedral,Eastern Orthodox cathedral,church,human-made,Pitsunda Cathedral
01fa54b569dccef9,https://upload.wikimedia.org/wikipedia/commons/2/26/San_Pietro_Caveoso_Matera_05.jpg,15233,http://commons.wikimedia.org/wiki/Category:San_Pietro_Caveoso_(Matera),church building,church,human-made,San Pietro Caveoso (Matera)
c00c00342012bf13,http://upload.wikimedia.org/wikipedia/commons/9/97/Bristol_Park_Street_-_Bristol_8089_%28OHY938%29.JPG,128684,"http://commons.wikimedia.org/wiki/Category:Park_Street,_Bristol",street,,,"Park Street, Bristol"
26b2a7123505e998,https://upload.wikimedia.org/wikipedia/commons/8/83/2986VenariaRealeSUbertoInside.jpg,144574,http://commons.wikimedia.org/wiki/Category:Sant'Uberto_(Venaria_Reale),church building,church,human-made,Sant'Uberto (Venaria Reale)
523a08912c27d195,https://upload.wikimedia.org/wikipedia/commons/f/f3/Bulguksa_Dabotap_%28South_Korea%29_001.jpg,153689,http://commons.wikimedia.org/wiki/Category:Dabotap,pagoda,buddhist temple,human-made,Dabotap
c8eda28863e70cf9,https://upload.wikimedia.org/wikipedia/commons/2/25/Wlm_redde_4345.JPG,76549,http://commons.wikimedia.org/wiki/Category:Torre_di_Redde,tower house,tower,human-made,Torre di Redde
1b63734f0566ba98,https://upload.wikimedia.org/wikipedia/commons/d/df/Saile%2C_Innsbruck%2C_Tyrol%2C_Austria_-_panoramio.jpg,79172,http://commons.wikimedia.org/wiki/Category:Saile,mountain,mountain,natural,Saile
1e803699ff973219,https://upload.wikimedia.org/wikipedia/commons/9/9c/Fortaleza_de_Belixe_Torbogen.jpg,91254,http://commons.wikimedia.org/wiki/Category:Fortaleza_de_Belixe,fort,castle / fort,human-made,Fortaleza de Belixe
f812bac296f80963,https://upload.wikimedia.org/wikipedia/commons/1/1d/Minovici_Villa_Bucharest_gate_1.jpg,61048,http://commons.wikimedia.org/wiki/Category:Museum_of_Popular_Art_%22Nicolae_Minovici%22,museum,museum,human-made,"Museum of Popular Art ""Nicolae Minovici"""
41ee0a24affd608e,https://upload.wikimedia.org/wikipedia/commons/e/ea/%D0%9A%D0%B8%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D1%84%D0%BE%D1%80%D1%82%D0%B5%D1%86%D1%8F_%28%D0%9A%D0%BE%D1%81%D0%B8%D0%B9_%D0%9A%D0%B0%D0%BF%D0%BE%D0%BD%D1%96%D1%80%29_7.JPG,139238,http://commons.wikimedia.org/wiki/Category:Oblique_caponier_Fortress,caponier,castle / fort,human-made,Oblique caponier Fortress
6e8389e40517263a,https://upload.wikimedia.org/wikipedia/commons/8/86/Rosserk_Friary_Choir_Double_Piscina_Vault_2013_09_14.jpg,81574,http://commons.wikimedia.org/wiki/Category:Rosserk_Friary,friary,,,Rosserk Friary
37ddfaf5e502f5cb,https://upload.wikimedia.org/wikipedia/commons/c/cc/Pierre-qui-vire-coupe-440x380.jpg,183844,http://commons.wikimedia.org/wiki/Category:Abbaye_de_la_Pierre-qui-Vire,abbey,church,human-made,Abbaye de la Pierre-qui-Vire
6ff73298f197c01c,https://upload.wikimedia.org/wikipedia/commons/4/43/Rosserk_Friary_Cloister_NW_1987_08_27.jpg,81574,http://commons.wikimedia.org/wiki/Category:Rosserk_Friary,friary,,,Rosserk Friary
17e38620b90c1090,https://upload.wikimedia.org/wikipedia/commons/0/0a/2014_Laura_Plantation_06.JPG,186547,http://commons.wikimedia.org/wiki/Category:Laura_Plantation,plantation,agricultural land,natural,Laura Plantation
6de8b87b21991b68,https://upload.wikimedia.org/wikipedia/commons/6/60/Hoejslev%2820%29Praedikestol.JPG,21127,http://commons.wikimedia.org/wiki/Category:H%C3%B8jslev_Kirke,church building,church,human-made,Højslev Kirke
76a639d1c66b89be,https://upload.wikimedia.org/wikipedia/commons/c/c3/Hoejslev%2831%29Stolegavle_med_heraldik.JPG,21127,http://commons.wikimedia.org/wiki/Category:H%C3%B8jslev_Kirke,church building,church,human-made,Højslev Kirke
27a6f4375c4d075f,https://upload.wikimedia.org/wikipedia/commons/5/5d/S_Maria_del_Carmine_%28Rovereto%29_-_interno_2.jpeg,144693,http://commons.wikimedia.org/wiki/Category:Santa_Maria_del_Carmine_(Rovereto),church building,church,human-made,Santa Maria del Carmine (Rovereto)
77a5c3b3f52167e6,https://upload.wikimedia.org/wikipedia/commons/9/92/Ruines_du_ch%C3%A2teau_de_Ferrette_%288%29.jpg,148121,http://commons.wikimedia.org/wiki/Category:Ch%C3%A2teau_de_Ferrette,castle,castle / fort,human-made,Château de Ferrette
7186f71b0640adfc,https://upload.wikimedia.org/wikipedia/commons/f/f9/Solari_Museo.JPG,188437,http://commons.wikimedia.org/wiki/Category:Museo_Luis_Alberto_Solari,art museum,museum,human-made,Museo Luis Alberto Solari
0c8edc41bbaffb40,https://upload.wikimedia.org/wikipedia/commons/5/52/C%E1%BA%A7u_C%E1%BA%A7n_Th%C6%A1_%286321760234%29.jpg,174562,http://commons.wikimedia.org/wiki/Category:Can_Tho_Bridge,road bridge,bridge,human-made,Can Tho Bridge
7adabed81ef1ec0a,https://upload.wikimedia.org/wikipedia/commons/1/14/FP_Benedicto_Calixto_02.jpg,35501,http://commons.wikimedia.org/wiki/Category:Funda%C3%A7%C3%A3o_Pinacoteca_Benedicto_Calixto,museum,museum,human-made,Fundação Pinacoteca Benedicto Calixto
8dc04597a4fc7f10,https://upload.wikimedia.org/wikipedia/commons/1/19/View_north-east_along_the_Ettrick_Water_-_geograph.org.uk_-_550054.jpg,98685,http://commons.wikimedia.org/wiki/Category:Ettrick_Water,river,river,natural,Ettrick Water
6f60561e3dd314a3,https://upload.wikimedia.org/wikipedia/commons/7/74/AmanitaGRNP3.JPG,104827,http://commons.wikimedia.org/wiki/Category:Georges_River_National_Park,national park of Australia,parks,natural,Georges River National Park
34038fbbb5f838c7,http://upload.wikimedia.org/wikipedia/commons/6/60/Gro%C3%9Fsteingrab_St%C3%B6ckheim_07.jpg,64348,http://commons.wikimedia.org/wiki/Category:Gro%C3%9Fsteingrab_St%C3%B6ckheim,megalithic tomb,cemetery,human-made,Großsteingrab Stöckheim
5b5a79669936fa7a,https://upload.wikimedia.org/wikipedia/commons/d/d4/Kobylisk%C3%A1_st%C5%99elnice%2C_tabule_u_vstupu_%281%29.jpg,148334,http://commons.wikimedia.org/wiki/Category:Kobylisy_Shooting_Range,shooting range,,,Kobylisy Shooting Range
d847ef70961a8640,https://upload.wikimedia.org/wikipedia/commons/2/2c/2015_Babisnau_Wanderwegweiser.jpg,40564,http://commons.wikimedia.org/wiki/Category:Babisnauer_Pappel,tree,tree,natural,Babisnauer Pappel
54b4625e78c098d9,https://upload.wikimedia.org/wikipedia/commons/3/3c/Campagne_%2824%29_%C3%A9glise_b%C3%A9nitier.JPG,92860,http://commons.wikimedia.org/wiki/Category:%C3%89glise_Saint-Jean-Baptiste_de_Campagne,church building,church,human-made,Église Saint-Jean-Baptiste de Campagne
682a17bf2f411dac,https://upload.wikimedia.org/wikipedia/commons/d/dd/Kasteel_van_Groot-Bijgaarden_%285614628930%29.jpg,82247,http://commons.wikimedia.org/wiki/Category:Groot-Bijgaarden_castle,château,castle / fort,human-made,Groot-Bijgaarden castle
0c572944a45dce1b,https://upload.wikimedia.org/wikipedia/commons/4/4f/Mareuil_24_Ch%C3%A2teau_logis_2014.jpg,200017,http://commons.wikimedia.org/wiki/Category:Ch%C3%A2teau_de_Mareuil,château,castle / fort,human-made,Château de Mareuil
e662e91d62062dc3,https://upload.wikimedia.org/wikipedia/commons/8/84/NSG_Zengermoos_06_%28HS%29.jpg,194436,http://commons.wikimedia.org/wiki/Category:Zengermoos,Naturschutzgebiet,parks,natural,Zengermoos
edeb5c8f29232a10,https://upload.wikimedia.org/wikipedia/commons/0/0f/Seoul_Racecourse_Main_Stand.jpg,168536,http://commons.wikimedia.org/wiki/Category:Seoul_Racecourse,sports venue,sports venue,human-made,Seoul Racecourse
c1313ee08e376d3d,https://upload.wikimedia.org/wikipedia/commons/1/1e/%E5%A4%A7%E6%B2%BC%E5%85%AC%E5%9C%92_-_panoramio_%289%29.jpg,53417,"http://commons.wikimedia.org/wiki/Category:Onuma_(Nanae,_Hokkaido)",lake,lake,natural,"Onuma (Nanae, Hokkaido)"
4a044513f4fb874d,https://upload.wikimedia.org/wikipedia/commons/9/95/Chiesa_di_Santa_Maria_del_Carmine_%28Rovereto%29_17_Facciata_-_S._Teresa.jpg,144693,http://commons.wikimedia.org/wiki/Category:Santa_Maria_del_Carmine_(Rovereto),church building,church,human-made,Santa Maria del Carmine (Rovereto)
6b9c1ecf122d7943,https://upload.wikimedia.org/wikipedia/commons/9/9d/Fontaine_St_Lazare_Autun_3.jpg,105114,http://commons.wikimedia.org/wiki/Category:Fontaine_Saint-Lazare,fountain,fountain,human-made,Fontaine Saint-Lazare
be18d360a4ebcb23,https://upload.wikimedia.org/wikipedia/commons/d/d6/Santorini_-_Teleferic.jpg,154161,http://commons.wikimedia.org/wiki/Category:Santorini_Cable_Car,aerial tramway,rail transportation,human-made,Santorini Cable Car
60b7faa525880e3e,https://upload.wikimedia.org/wikipedia/commons/f/f6/NSG_Zengermoos_07_%28HS%29.jpg,194436,http://commons.wikimedia.org/wiki/Category:Zengermoos,Naturschutzgebiet,parks,natural,Zengermoos
c6bfe43307f9e3a0,http://upload.wikimedia.org/wikipedia/commons/4/44/La_Oliva_El_Cotillo_-_Castillo_de_El_Tost%C3%B3n_01_ies.jpg,79211,http://commons.wikimedia.org/wiki/Category:Castillo_de_El_Tost%C3%B3n,monument,,,Castillo de El Tostón
71b360b7146137ea,https://upload.wikimedia.org/wikipedia/commons/d/dd/%E7%A5%80%E5%85%B8%E6%AD%A6%E5%BB%9F.jpg,187312,"http://commons.wikimedia.org/wiki/Category:Sacrificial_Rites_Martial_Temple,_Tainan",temples of Kwan Tai,,,"Sacrificial Rites Martial Temple, Tainan"
34e63036ead2863f,https://upload.wikimedia.org/wikipedia/commons/f/fa/Hafenlohr1.JPG,14138,http://commons.wikimedia.org/wiki/Category:Hafenlohr_(river),river,river,natural,Hafenlohr (river)
fb4d17244151097a,https://upload.wikimedia.org/wikipedia/commons/6/68/NPR_Prad%C4%9Bd%2C_Velk%C3%BD_kotel_%282%29.jpg,152994,http://commons.wikimedia.org/wiki/Category:Velk%C3%A1_kotlina,cirque,,,Velká kotlina
6d318e69d223f7dd,https://upload.wikimedia.org/wikipedia/commons/f/f0/Duderstadt%2C_Marktstra%C3%9Fe_66%2C_Rathaus%2C_Ansicht_von_S%C3%BCden_20171110-001.jpg,136293,http://commons.wikimedia.org/wiki/Category:Rathaus_Duderstadt,city hall,government building,human-made,Rathaus Duderstadt
074bdc40ca88f047,http://upload.wikimedia.org/wikipedia/commons/c/c3/Quanzhou_Museum_-_imperial_exam_winner_boards_-_DSCF8225.JPG,101290,http://commons.wikimedia.org/wiki/Category:Quanzhou_Museum,museum,museum,human-made,Quanzhou Museum
7ef98aaa8c322a8c,https://upload.wikimedia.org/wikipedia/commons/9/9d/Public_Art_by_Mueller_Hall_-_Valparaiso_University.jpg,10400,http://commons.wikimedia.org/wiki/Category:Valparaiso_University,private university,school,human-made,Valparaiso University
372ec451ae949fd4,https://upload.wikimedia.org/wikipedia/commons/7/76/Altar_principal_templo_santo_domingo.JPG,73507,"http://commons.wikimedia.org/wiki/Category:Templo_de_Santo_Domingo,_Cochabamba",church building,church,human-made,"Templo de Santo Domingo, Cochabamba"
9540dc5d5775385d,https://upload.wikimedia.org/wikipedia/commons/1/1e/Panoramaweg_Merkurbahn_Fischzucht_Blick_vom_Lerchenberg.jpg,148497,http://commons.wikimedia.org/wiki/Category:Panoramaweg_Baden-Baden,tourist circuit,,,Panoramaweg Baden-Baden
fef17c0c1f4cb5a7,https://upload.wikimedia.org/wikipedia/commons/0/0c/Trolleybus_19_interior.jpg,52641,http://commons.wikimedia.org/wiki/Category:Sydney_Tramway_Museum,tramway museum,museum,human-made,Sydney Tramway Museum
9c6018789643c945,https://upload.wikimedia.org/wikipedia/commons/3/37/The_Ettrick_Water_at_Bridgelands_-_geograph.org.uk_-_813234.jpg,98685,http://commons.wikimedia.org/wiki/Category:Ettrick_Water,river,river,natural,Ettrick Water
5bab6ad47dc45d99,https://upload.wikimedia.org/wikipedia/commons/8/84/Torre_avan%C3%A7ada_del_castell_de_Querman%C3%A7%C3%B3.jpg,188067,http://commons.wikimedia.org/wiki/Category:Castell_de_Querman%C3%A7%C3%B3,castle,castle / fort,human-made,Castell de Quermançó
4118040b4ac91076,https://upload.wikimedia.org/wikipedia/commons/e/e3/Verso_il_Prisojnik_%287928473532%29.jpg,176896,http://commons.wikimedia.org/wiki/Category:Prisojnik,mountain,mountain,natural,Prisojnik
541b588a416710e9,https://upload.wikimedia.org/wikipedia/commons/d/da/Decoraci%C3%B3n_del_Sant%C3%ADsimo_Sacramento_por_Semana_Santa_en_el_Templo_de_Santo_Domingo.jpg,73507,"http://commons.wikimedia.org/wiki/Category:Templo_de_Santo_Domingo,_Cochabamba",church building,church,human-made,"Templo de Santo Domingo, Cochabamba"
3069f79243407099,https://upload.wikimedia.org/wikipedia/commons/1/19/Reggia_di_Quisisana_019.JPG,45805,http://commons.wikimedia.org/wiki/Category:Reggia_di_Quisisana,palace,palace,human-made,Reggia di Quisisana
d2f09ae7406ba62f,https://upload.wikimedia.org/wikipedia/commons/b/b9/Korea-Gyeongju-Bulguksa-Dabotap_with_lanterns-01.jpg,153689,http://commons.wikimedia.org/wiki/Category:Dabotap,pagoda,buddhist temple,human-made,Dabotap
e0cd1410d09c17f2,https://upload.wikimedia.org/wikipedia/commons/2/28/Saint-Fargeau-FR-89-%C3%A9glise-02.jpg,202075,http://commons.wikimedia.org/wiki/Category:%C3%89glise_Saint-Ferr%C3%A9ol_de_Saint-Fargeau,church building,church,human-made,Église Saint-Ferréol de Saint-Fargeau
62a74042ac3c0466,https://upload.wikimedia.org/wikipedia/commons/4/46/Hippodrome_de_Saint-Jean-des-Pr%C3%A9s_26.JPG,40347,http://commons.wikimedia.org/wiki/Category:Hippodrome_de_Saint-Jean-des-Pr%C3%A9s,horse racing venue,sports venue,human-made,Hippodrome de Saint-Jean-des-Prés
17d772555d4e97bb,https://upload.wikimedia.org/wikipedia/commons/8/88/Medias_Biserica_fortificata.JPG,133271,"http://commons.wikimedia.org/wiki/Category:Saint_Margaret_Church,_Media%C8%99",church building,church,human-made,"Saint Margaret Church, Mediaș"
a126523bf286f53a,https://upload.wikimedia.org/wikipedia/commons/5/58/Nanda_Devi%2C_from_Joshimath.jpg,23858,http://commons.wikimedia.org/wiki/Category:Nanda_Devi,mountain,mountain,natural,Nanda Devi
8dc862fb93541a6f,https://upload.wikimedia.org/wikipedia/commons/a/a1/%C3%89glise_Saint-Aignan_de_Sept-Forges_10.JPG,28008,http://commons.wikimedia.org/wiki/Category:%C3%89glise_Saint-Aignan_de_Sept-Forges,church building,church,human-made,Église Saint-Aignan de Sept-Forges
ca8dd83eafd69d8c,http://upload.wikimedia.org/wikipedia/commons/b/ba/Doln%C3%AD_Lou%C4%8Dky%2C_kostel_sv._Martina_%282013-08-01%3B_05%29.jpg,196781,http://commons.wikimedia.org/wiki/Category:Church_of_Saint_Martin_(Doln%C3%AD_Lou%C4%8Dky),church building,church,human-made,Church of Saint Martin (Dolní Loučky)
f634eb5a16fea5f4,https://upload.wikimedia.org/wikipedia/commons/c/c2/Valparaiso_University_bench_at_Coventry_Cathedral%2C_England.JPG,10400,http://commons.wikimedia.org/wiki/Category:Valparaiso_University,private university,school,human-made,Valparaiso University
1be93f0c480a3d36,https://upload.wikimedia.org/wikipedia/commons/d/df/Milano_-_Sant%27_Ambrogio_-_panoramio_%282%29.jpg,24794,http://commons.wikimedia.org/wiki/Category:Sant'Ambrogio_(Milan),minor basilica,church,human-made,Sant'Ambrogio (Milan)
c54fa556a122aa7e,https://upload.wikimedia.org/wikipedia/commons/9/9f/Ensiklopedi_Umum_untuk_Pelajar.jpg,51420,http://commons.wikimedia.org/wiki/Category:Monumen_Pers_Nasional,monument,,,Monumen Pers Nasional
0edcf42823efe4a6,https://upload.wikimedia.org/wikipedia/commons/1/11/12margs.jpg,154830,http://commons.wikimedia.org/wiki/Category:Museu_de_Arte_do_Rio_Grande_do_Sul_Ado_Malagoli,art museum,museum,human-made,Museu de Arte do Rio Grande do Sul Ado Malagoli
ac28b0c200b33024,https://upload.wikimedia.org/wikipedia/commons/5/5e/JfCiudadINC9725PhilArenafvf_20.JPG,202443,http://commons.wikimedia.org/wiki/Category:Ciudad_de_Victoria,mixed-use development,,,Ciudad de Victoria
f2842ec0c2592142,https://upload.wikimedia.org/wikipedia/commons/e/ed/Hoejslev%2809%29Tympanon.JPG,21127,http://commons.wikimedia.org/wiki/Category:H%C3%B8jslev_Kirke,church building,church,human-made,Højslev Kirke
d1decb7ffb0650e8,https://upload.wikimedia.org/wikipedia/commons/b/b5/Ikei_Beach_entrance.JPG,163122,http://commons.wikimedia.org/wiki/Category:Ikei_Island,island,island,natural,Ikei Island
47bdd1a0d6f7cf48,http://upload.wikimedia.org/wikipedia/commons/d/d0/Nordenskirker_Jungshoved%2856%29.jpg,110357,http://commons.wikimedia.org/wiki/Category:Jungshoved_Kirke,church building,church,human-made,Jungshoved Kirke
520e7d4c75515676,https://upload.wikimedia.org/wikipedia/commons/c/cc/Job_0389.jpg,105622,http://commons.wikimedia.org/wiki/Category:Slottsskogen,urban park,parks,natural,Slottsskogen
